Type,Index,Description,Subject,Gold,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_0613_normal
MCQ,1,JEE Adv 2016 Paper 1,phy,B,C,C,B,B,B,B,B
MCQ,2,JEE Adv 2016 Paper 1,phy,D,C,C,D,D,C,D,None
MCQ(multiple),6,JEE Adv 2016 Paper 1,phy,ABD,BC,BC,AB,ABD,ABD,AD,ABD
MCQ(multiple),8,JEE Adv 2016 Paper 1,phy,CD,BC,BC,BCD,CD,CD,CD,BC
MCQ(multiple),9,JEE Adv 2016 Paper 1,phy,AD,BCD,BC,ABD,C,CD,C,BCD
MCQ(multiple),10,JEE Adv 2016 Paper 1,phy,BD,A,ABCD,ABD,ABCD,ABCD,B,ABD
MCQ(multiple),12,JEE Adv 2016 Paper 1,phy,ABD,ABCD,ABD,ABC,ABD,ABD,ABCD,AD
Integer,14,JEE Adv 2016 Paper 1,phy,9,None,5,5,17,17,9,7
Integer,15,JEE Adv 2016 Paper 1,phy,9,None,None,None,9,9,4.041,None
Integer,16,JEE Adv 2016 Paper 1,phy,6,4,3,10,1,0,0,0
Integer,17,JEE Adv 2016 Paper 1,phy,3,None,None,3,4,2,48,None
Integer,18,JEE Adv 2016 Paper 1,phy,8,None,None,None,4,4,12,None
MCQ,20,JEE Adv 2016 Paper 1,chem,C,B,B,C,C,C,B,B
MCQ,21,JEE Adv 2016 Paper 1,chem,B,A,C,A,A,A,A,B
MCQ,22,JEE Adv 2016 Paper 1,chem,B,A,A,A,A,A,A,A
MCQ,23,JEE Adv 2016 Paper 1,chem,A,D,D,D,D,D,D,D
MCQ(multiple),24,JEE Adv 2016 Paper 1,chem,BCD,ABD,BCD,BCD,BCD,BCD,BCD,BCD
MCQ(multiple),25,JEE Adv 2016 Paper 1,chem,BD,ABC,A,ABD,BD,BD,ABD,BD
MCQ(multiple),26,JEE Adv 2016 Paper 1,chem,ACD,ABCD,A,ACD,ACD,ACD,ACD,ACD
MCQ(multiple),27,JEE Adv 2016 Paper 1,chem,BC,C,C,BC,C,BC,AD,C
MCQ(multiple),28,JEE Adv 2016 Paper 1,chem,A,A,A,AC,A,A,AC,A
Integer,32,JEE Adv 2016 Paper 1,chem,9,None,9,2,201,201,1,9
Integer,33,JEE Adv 2016 Paper 1,chem,4,8,2,1,4,4,4,1
Integer,34,JEE Adv 2016 Paper 1,chem,6,8,40,40,20,20,20,40
MCQ,37,JEE Adv 2016 Paper 1,math,C,A,A,A,A,None,A,None
MCQ,38,JEE Adv 2016 Paper 1,math,A,D,A,A,A,A,A,A
MCQ,39,JEE Adv 2016 Paper 1,math,C,C,D,C,C,C,C,A
MCQ,40,JEE Adv 2016 Paper 1,math,C,C,A,None,C,C,None,C
MCQ,41,JEE Adv 2016 Paper 1,math,C,A,B,B,None,None,None,A
MCQ(multiple),42,JEE Adv 2016 Paper 1,math,BCD,ABCD,ACD,BCD,BC,BC,AC,AC
MCQ(multiple),43,JEE Adv 2016 Paper 1,math,A,ABD,CD,C,AC,AC,ABCD,C
MCQ(multiple),44,JEE Adv 2016 Paper 1,math,BC,A,BD,B,BC,BC,BC,BCD
MCQ(multiple),45,JEE Adv 2016 Paper 1,math,ACD,ABCD,ABC,None,ABCD,ABCD,ABCD,BCD
MCQ(multiple),46,JEE Adv 2016 Paper 1,math,AD,ACD,BD,ACD,AC,None,C,AC
MCQ(multiple),47,JEE Adv 2016 Paper 1,math,BC,D,A,None,BC,ABCD,A,ABCD
MCQ(multiple),48,JEE Adv 2016 Paper 1,math,ABC,ABCD,BC,B,None,None,ABC,None
MCQ(multiple),49,JEE Adv 2016 Paper 1,math,AC,ACD,AC,None,AC,AC,BD,AC
Integer,50,JEE Adv 2016 Paper 1,math,2,1,0,2,2,2,2,0
Integer,51,JEE Adv 2016 Paper 1,math,5,None,None,0,1,146,6800,1
Integer,52,JEE Adv 2016 Paper 1,math,1,4,1,0,0,2,0,0
Integer,53,JEE Adv 2016 Paper 1,math,7,None,None,6,12,12,36,6
Integer,54,JEE Adv 2016 Paper 1,math,1,0,9,0,1,1,2,2
MCQ,1,JEE Adv 2016 Paper 2,phy,C,B,B,B,B,B,B,B
MCQ,2,JEE Adv 2016 Paper 2,phy,C,C,C,C,C,C,C,C
MCQ,3,JEE Adv 2016 Paper 2,phy,C,A,B,C,B,B,C,None
MCQ,4,JEE Adv 2016 Paper 2,phy,A,D,A,C,C,C,C,C
MCQ(multiple),9,JEE Adv 2016 Paper 2,phy,ABD,AD,ACD,AD,AD,AD,ACD,AD
MCQ(multiple),10,JEE Adv 2016 Paper 2,phy,BC,AD,BD,None,BC,C,B,AC
MCQ(multiple),12,JEE Adv 2016 Paper 2,phy,ABD,AC,AC,AB,ABCD,ABCD,ABCD,B
MCQ,19,JEE Adv 2016 Paper 2,chem,D,C,A,D,C,C,C,D
MCQ,22,JEE Adv 2016 Paper 2,chem,A,D,A,A,A,A,A,A
MCQ(multiple),25,JEE Adv 2016 Paper 2,chem,AC,AC,ABC,AB,AC,AC,ABC,ABC
MCQ(multiple),26,JEE Adv 2016 Paper 2,chem,AB,A,A,AB,AB,AB,AB,AB
MCQ(multiple),27,JEE Adv 2016 Paper 2,chem,BCD,ACD,ACD,ABCD,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),28,JEE Adv 2016 Paper 2,chem,ABC,ABCD,ABC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),29,JEE Adv 2016 Paper 2,chem,BD,ABD,ABD,ABCD,BC,BC,ABCD,ABCD
MCQ(multiple),30,JEE Adv 2016 Paper 2,chem,BC,ABD,BC,BD,BD,BD,BCD,BCD
MCQ,37,JEE Adv 2016 Paper 2,math,B,A,D,None,None,1,D,None
MCQ,38,JEE Adv 2016 Paper 2,math,B,A,C,C,D,D,C,B
MCQ,40,JEE Adv 2016 Paper 2,math,A,C,None,None,None,None,None,ABCD
MCQ,42,JEE Adv 2016 Paper 2,math,C,A,A,None,C,C,None,None
MCQ(multiple),44,JEE Adv 2016 Paper 2,math,AB,ABD,ABC,AB,AB,AB,ABCD,ABD
MCQ(multiple),45,JEE Adv 2016 Paper 2,math,AD,ACD,None,D,None,None,None,D
MCQ(multiple),46,JEE Adv 2016 Paper 2,math,BC,AD,AB,AC,AD,AD,AD,AD
MCQ(multiple),47,JEE Adv 2016 Paper 2,math,ACD,A,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),48,JEE Adv 2016 Paper 2,math,ACD,A,B,ABCD,None,None,ABD,ABCD
MCQ(multiple),49,JEE Adv 2016 Paper 2,math,BCD,A,BC,ABCD,BCD,BCD,BCD,B
MCQ(multiple),50,JEE Adv 2016 Paper 2,math,BC,B,B,B,BC,BC,BCD,B
MCQ(multiple),1,JEE Adv 2017 Paper 1,phy,ABD,AD,AD,ABD,ABD,ABD,ABD,D
MCQ(multiple),4,JEE Adv 2017 Paper 1,phy,C,ABCD,ABC,ABC,ABC,ABC,ABC,BC
MCQ(multiple),7,JEE Adv 2017 Paper 1,phy,ACD,A,AD,AC,C,C,ABC,A
Integer,8,JEE Adv 2017 Paper 1,phy,6,3,None,3,2,None,None,0
Integer,9,JEE Adv 2017 Paper 1,phy,5,6,None,3,5,5,7,3
Integer,11,JEE Adv 2017 Paper 1,phy,6,None,None,1,6,6,0.76,4
Integer,12,JEE Adv 2017 Paper 1,phy,5,None,5,5,5,5,5,5
MCQ(multiple),19,JEE Adv 2017 Paper 1,chem,ABC,ABD,CD,AC,ABC,ABC,AC,BCD
MCQ(multiple),21,JEE Adv 2017 Paper 1,chem,ABD,ABC,B,ABD,BD,BD,ABD,ABD
MCQ(multiple),22,JEE Adv 2017 Paper 1,chem,CD,D,CD,D,CD,CD,D,CD
MCQ(multiple),23,JEE Adv 2017 Paper 1,chem,BCD,BD,D,BC,BD,BD,B,BCD
Integer,26,JEE Adv 2017 Paper 1,chem,2,5,None,2000000,2,2,2,2000000000000
Integer,27,JEE Adv 2017 Paper 1,chem,6,None,None,6,6,6,4,0
Integer,28,JEE Adv 2017 Paper 1,chem,6,8,6,50,5,6,7,3
Integer,29,JEE Adv 2017 Paper 1,chem,5,5,4,6,5,5,5,5
MCQ(multiple),37,JEE Adv 2017 Paper 1,math,ABC,BD,D,AD,ABCD,ABCD,AB,ABCD
MCQ(multiple),38,JEE Adv 2017 Paper 1,math,C,AC,B,AC,A,A,BCD,None
MCQ(multiple),40,JEE Adv 2017 Paper 1,math,AB,ABCD,ABD,AB,AB,AB,AB,ABC
MCQ(multiple),41,JEE Adv 2017 Paper 1,math,BD,BCD,B,B,BC,BC,B,D
MCQ(multiple),42,JEE Adv 2017 Paper 1,math,AB,None,AB,AB,AB,AB,B,AB
MCQ(multiple),43,JEE Adv 2017 Paper 1,math,AB,ACD,ABCD,AB,AB,AB,ABCD,A
Integer,44,JEE Adv 2017 Paper 1,math,2,1,2,4,1,1,1,0
Integer,45,JEE Adv 2017 Paper 1,math,2,None,1,0,None,None,3,None
Integer,46,JEE Adv 2017 Paper 1,math,1,0,None,None,3,3,1,3
Integer,47,JEE Adv 2017 Paper 1,math,5,3628800,None,5,80640,None,0.5,1
Integer,48,JEE Adv 2017 Paper 1,math,6,4,2,16,2,4,3,6
MCQ,1,JEE Adv 2017 Paper 2,phy,A,D,D,A,A,A,A,A
MCQ,3,JEE Adv 2017 Paper 2,phy,D,A,B,D,D,D,D,D
MCQ,6,JEE Adv 2017 Paper 2,phy,B,B,C,B,B,B,B,B
MCQ,7,JEE Adv 2017 Paper 2,phy,B,A,B,None,B,B,B,None
MCQ(multiple),9,JEE Adv 2017 Paper 2,phy,AD,A,AB,AD,AD,AD,AD,AD
MCQ,20,JEE Adv 2017 Paper 2,chem,B,D,B,B,B,B,B,B
MCQ,21,JEE Adv 2017 Paper 2,chem,A,B,B,C,A,A,A,A
MCQ,22,JEE Adv 2017 Paper 2,chem,C,A,C,C,C,C,C,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,A,B,C,C,C,C,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,BD,B,AB,AB,AB,AB,AB
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,AC,AB,BD,ABCD,C,BD,BD
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,ABD,AB,AB,AB,AB,AB,AB
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,AD,BD,ABD,ABD,ABD,ABD,ABD
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,ABCD,A,AD,AD,AD,A,AD
MCQ,37,JEE Adv 2017 Paper 2,math,C,C,A,None,C,C,None,None
MCQ,38,JEE Adv 2017 Paper 2,math,D,None,B,D,D,D,D,D
MCQ,39,JEE Adv 2017 Paper 2,math,A,D,C,A,A,None,None,None
MCQ,40,JEE Adv 2017 Paper 2,math,D,C,B,D,C,C,D,D
MCQ,41,JEE Adv 2017 Paper 2,math,B,None,None,None,None,None,B,None
MCQ,42,JEE Adv 2017 Paper 2,math,D,C,B,C,C,C,D,D
