Type,Index,Description,Subject,Gold,Random,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_0613_normal
MCQ,1,JEE Adv 2016 Paper 1,phy,B,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,2,JEE Adv 2016 Paper 1,phy,D,0.25,0.0,0.0,1.0,1.0,0.0,1.0,0.0
MCQ(multiple),6,JEE Adv 2016 Paper 1,phy,ABD,0.203125,0.0,0.0,0.5,1.0,1.0,0.5,1.0
MCQ(multiple),8,JEE Adv 2016 Paper 1,phy,CD,0.09375,0.0,0.0,0.0,1.0,1.0,1.0,0.0
MCQ(multiple),9,JEE Adv 2016 Paper 1,phy,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),10,JEE Adv 2016 Paper 1,phy,BD,0.09375,0.0,0.0,0.0,0.0,0.0,0.25,0.0
MCQ(multiple),12,JEE Adv 2016 Paper 1,phy,ABD,0.203125,0.0,1.0,0.0,1.0,1.0,0.0,0.5
Integer,14,JEE Adv 2016 Paper 1,phy,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Integer,15,JEE Adv 2016 Paper 1,phy,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Integer,16,JEE Adv 2016 Paper 1,phy,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,17,JEE Adv 2016 Paper 1,phy,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Integer,18,JEE Adv 2016 Paper 1,phy,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,20,JEE Adv 2016 Paper 1,chem,C,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0
MCQ,21,JEE Adv 2016 Paper 1,chem,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,22,JEE Adv 2016 Paper 1,chem,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,23,JEE Adv 2016 Paper 1,chem,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),24,JEE Adv 2016 Paper 1,chem,BCD,0.203125,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),25,JEE Adv 2016 Paper 1,chem,BD,0.09375,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ(multiple),26,JEE Adv 2016 Paper 1,chem,ACD,0.203125,0.0,0.25,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),27,JEE Adv 2016 Paper 1,chem,BC,0.09375,0.25,0.25,1.0,0.25,1.0,0.0,0.25
MCQ(multiple),28,JEE Adv 2016 Paper 1,chem,A,0.0625,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Integer,32,JEE Adv 2016 Paper 1,chem,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Integer,33,JEE Adv 2016 Paper 1,chem,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Integer,34,JEE Adv 2016 Paper 1,chem,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,37,JEE Adv 2016 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,38,JEE Adv 2016 Paper 1,math,A,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ,39,JEE Adv 2016 Paper 1,math,C,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0
MCQ,40,JEE Adv 2016 Paper 1,math,C,0.25,1.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ,41,JEE Adv 2016 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),42,JEE Adv 2016 Paper 1,math,BCD,0.203125,0.0,0.0,1.0,0.5,0.5,0.0,0.0
MCQ(multiple),43,JEE Adv 2016 Paper 1,math,A,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),44,JEE Adv 2016 Paper 1,math,BC,0.09375,0.0,0.0,0.25,1.0,1.0,1.0,0.0
MCQ(multiple),45,JEE Adv 2016 Paper 1,math,ACD,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),46,JEE Adv 2016 Paper 1,math,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),47,JEE Adv 2016 Paper 1,math,BC,0.09375,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCQ(multiple),48,JEE Adv 2016 Paper 1,math,ABC,0.203125,0.0,0.5,0.25,0.0,0.0,1.0,0.0
MCQ(multiple),49,JEE Adv 2016 Paper 1,math,AC,0.09375,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Integer,50,JEE Adv 2016 Paper 1,math,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Integer,51,JEE Adv 2016 Paper 1,math,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,52,JEE Adv 2016 Paper 1,math,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Integer,53,JEE Adv 2016 Paper 1,math,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,54,JEE Adv 2016 Paper 1,math,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MCQ,1,JEE Adv 2016 Paper 2,phy,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
